"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
"impactstory","10.1371/journal.pone.0020870",NA,NA,1,502,1,NA,2,NA,2013-05-13
"plosalm","10.1371/journal.pone.0050159",0,0,0,731,38,0,NA,3,2013-05-13
"altmetric","10.1371/journal.pone.0050159",0,0,NA,NA,NA,NA,0,3,2012-12-05
"impactstory","10.1371/journal.pone.0050159",NA,NA,NA,719,NA,NA,NA,2,2013-05-13
"plosalm","10.1371/journal.pone.0028843",0,0,1,988,109,0,12,0,2013-05-13
"altmetric","10.1371/journal.pone.0028843",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028843",NA,NA,1,890,2,NA,14,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034103",0,0,0,860,484,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034103",0,0,NA,NA,NA,NA,0,4,2012-04-05
"impactstory","10.1371/journal.pone.0034103",NA,NA,NA,828,NA,NA,NA,6,2013-05-13
"plosalm","10.1371/journal.pone.0026190",0,0,9,1572,648,0,17,0,2013-05-13
"altmetric","10.1371/journal.pone.0026190",0,0,NA,NA,NA,NA,17,NA,2013-02-05
"impactstory","10.1371/journal.pone.0026190",NA,NA,9,1475,5,NA,18,NA,2013-05-13
"plosalm","10.1371/journal.pone.0042141",0,0,0,490,278,0,NA,1,2013-05-13
"altmetric","10.1371/journal.pone.0042141",0,0,NA,NA,NA,NA,0,1,2012-08-12
